,com_1,com_2,icd10,cluster
302,-1.0113609,-8.846431,B15,-1
303,2.9018579,-2.9727604,B150,517
304,-5.034749,4.4550633,B159,543
305,2.752596,-2.534254,B16,-1
306,-6.85664,-2.4448695,B160,342
307,-1.4727914,5.6824455,B161,-1
308,-0.75497717,3.2638018,B162,690
309,-3.0097907,-7.944179,B169,-1
310,0.8655902,-0.7331336,B17,675
311,-3.056358,1.2521452,B170,-1
312,5.6722903,1.6473421,B171,448
313,-6.1665573,6.5356946,B172,417
314,5.89291,1.4278135,B178,448
315,-0.79444337,3.1600173,B179,690
316,3.5111983,8.851073,B18,-1
317,2.3200793,1.5039792,B180,-1
318,2.4716463,0.74883854,B181,-1
319,-1.8616675,4.3585234,B1810,672
320,4.7516556,1.919932,B1819,414
321,2.0653412,0.8928407,B182,716
322,0.64705914,8.66687,B188,559
323,2.5820992,1.0274435,B189,-1
324,0.7493725,10.887138,B19,389
325,-0.25880742,15.154696,B190,122
326,-8.435011,9.067247,B199,-1
327,4.3182044,2.4540155,B20,-1
328,3.8812547,-0.5849274,B200,523
329,3.162716,-3.7742538,B201,419
330,9.897261,4.106129,B202,229
331,2.6618457,1.9192057,B203,-1
332,2.1307745,5.253588,B204,-1
333,-6.1635194,1.9609982,B205,-1
334,-5.925026,2.8518724,B206,-1
335,2.306756,1.9501406,B207,686
336,2.7694886,-2.8259435,B208,517
337,1.2816594,-3.694854,B209,453
338,-5.2821827,1.5639855,B21,-1
339,0.2021701,13.7780075,B210,213
340,2.2264757,1.9597903,B211,686
341,-2.4944386,10.201129,B212,377
342,0.8452155,-0.7688905,B213,675
343,2.547404,5.1931624,B217,-1
344,0.19497879,1.287353,B218,-1
345,0.69693863,7.800142,B219,619
346,2.7429194,6.1937084,B22,545
347,-6.0146823,1.7589265,B220,480
348,-7.138699,14.090631,B221,159
349,-4.964072,-3.0747128,B222,412
350,-1.968551,9.862392,B227,371
351,4.079488,-5.1924314,B23,382
352,2.360329,5.2968554,B230,685
353,-0.5118747,5.9761286,B231,-1
354,3.198591,5.2628746,B232,606
355,-2.2134054,-2.9870203,B238,558
356,-1.9914825,-3.1452446,B24,-1
357,4.4641075,17.607935,B25,22
