,com_1,com_2,icd10,cluster
219,9.271093,12.714708,A799,77
220,1.626634,-5.011111,A800,244
221,-0.5065202,-2.0583503,A803,358
222,-6.5543184,0.5263742,A804,288
223,2.538441,4.98,A809,627
224,1.8458415,-0.09955433,A810,467
225,1.956617,1.7821983,A811,590
226,3.490275,2.7108836,A812,579
227,-9.622947,7.4875255,A829,-1
228,-3.4376378,0.3598944,A830,-1
229,-9.388845,3.2671633,A836,-1
230,2.0127463,5.979364,A838,625
231,-1.509134,12.583039,A849,-1
232,-2.9113374,-5.544683,A850,114
233,1.9798452,1.4248497,A858,590
234,0.45518032,2.9675827,A86,564
235,8.539343,-0.36650625,A870,286
236,6.508228,-6.3145795,A872,96
237,3.3119342,6.707598,A878,624
238,0.29967475,3.5887356,A879,554
239,5.5676737,-0.43918923,A880,-1
240,2.1747024,-2.7529614,A881,243
241,-8.566067,4.350086,A89,150
242,-2.3471577,6.7608275,A90,-1
243,-3.0386453,-0.46558407,A91,402
244,9.115595,2.321388,A910,307
245,9.3443,12.4732485,A911,77
246,6.542846,8.802537,A919,287
247,4.93316,13.4666605,A920,-1
248,-11.111425,0.7367185,A968,71
249,10.833485,4.8066463,A970,-1
250,-1.8377438,-0.49589422,A971,416
251,8.160931,10.2557,A979,-1
252,-11.090108,1.2394156,A988,71
253,-8.387301,9.8932705,A99,84
254,0.89200824,0.30170313,B000,498
255,-2.4547956,0.40979582,B001,-1
256,0.32486555,6.4524117,B002,517
257,13.802983,5.251651,B003,-1
258,-2.6406333,0.14968455,B004,415
259,-1.9043499,5.7235336,B005,448
260,2.499622,7.0312176,B007,-1
261,-1.0736991,6.2118096,B008,-1
262,-2.8648765,0.16824186,B009,415
263,5.172213,-3.335831,B010,-1
264,0.5966552,-5.0636683,B011,-1
265,13.180604,6.2160287,B012,-1
266,1.6669545,2.1153948,B018,590
267,9.260126,-2.5117786,B019,255
268,4.6111403,5.0198064,B020,-1
269,7.32532,1.232767,B021,368
270,2.414707,6.2147994,B022,625
271,5.822846,7.514284,B023,427
272,-1.9011078,-0.61584485,B027,-1
273,-2.2998836,1.6819085,B028,520
274,1.0880791,4.7184124,B029,-1
275,2.0766597,-1.518911,B050,378
276,3.5309544,13.015434,B052,191
277,8.749027,2.6083908,B054,-1
278,6.401224,9.12847,B058,287
279,5.990825,8.172619,B059,-1
280,-2.673088,8.274971,B060,362
281,3.7224913,0.37637872,B068,-1
282,4.963903,2.7124925,B069,-1
283,2.551614,10.3927965,B07,168
284,-4.7538576,5.9318857,B081,-1
285,-1.5673033,0.62727576,B082,501
286,5.1882453,8.587531,B083,-1
287,-1.6346017,8.8938875,B084,-1
288,-1.6401589,-0.1662928,B085,417
289,-5.26879,4.779833,B088,-1
290,7.3203487,8.142005,B09,-1
291,0.8633398,11.367627,B150,-1
292,0.70724785,3.7247777,B159,609
293,6.0742226,-0.44940996,B160,314
294,8.620304,12.716625,B161,-1
295,1.5924959,0.8405856,B162,592
296,-0.24421157,12.149637,B169,209
297,3.6559005,6.8179893,B170,594
298,3.755607,4.6969795,B171,544
299,1.4685316,6.099112,B178,586
300,11.554396,-5.4761,B179,-1
301,15.937199,6.6294446,B18,36
302,0.81602144,5.836922,B180,-1
303,-4.338269,4.68501,B181,407
304,14.098968,5.633902,B1810,-1
305,1.5206188,4.0762234,B1819,619
306,-3.9117408,5.2111216,B182,-1
307,4.4092436,5.254988,B188,552
308,2.6186194,4.742617,B189,-1
309,-4.770634,3.2716198,B190,480
310,-0.009637302,6.114626,B199,-1
311,-2.0061772,3.3696172,B200,-1
312,-1.3861572,4.414894,B201,-1
313,-0.9200093,3.1676068,B202,-1
314,-0.7002169,3.9415112,B203,574
315,-1.4175122,4.5981994,B204,-1
316,-3.0313904,3.136923,B205,-1
317,-2.8059232,3.672472,B206,506
318,-1.594552,2.9712229,B207,-1
319,-2.2039359,5.974731,B208,455
320,-0.54768205,0.61544245,B209,335
321,8.697256,1.5249305,B210,359
322,3.8279667,-1.1939012,B211,-1
323,-3.0100796,2.2159538,B212,-1
324,2.8863761,2.7508166,B213,579
325,2.972704,4.842709,B217,627
326,-2.792419,5.963475,B218,454
327,2.5365925,8.771713,B219,385
328,-0.80586153,2.3797226,B220,-1
329,1.5359093,0.10990512,B221,497
330,3.973465,0.8514178,B222,533
331,-1.0391805,3.5989318,B227,-1
332,3.763318,6.1777563,B230,595
333,-1.8724958,6.5448775,B231,377
334,-0.78681123,2.8487604,B232,547
335,4.0217443,-4.7632866,B238,-1
336,-2.9633186,4.7822766,B24,485
